card_id,card_name,card_type,count
3,Basic {W} Energy,Energy,7
5,Basic {P} Energy,Energy,1
6,Basic {F} Energy,Energy,2
11,Mist Energy,Energy,1
19,Telepath Psychic Energy,Energy,2
65,Dunsparce,Pokemon,1
66,Dudunsparce,Pokemon,1
304,Hop’s Snorlax,Pokemon,1
305,Dunsparce,Pokemon,1
674,Hariyama,Pokemon,1
676,Solrock,Pokemon,3
677,Riolu,Pokemon,1
678,Mega Lucario ex,Pokemon,1
722,Snover,Pokemon,1
723,Mega Abomasnow ex,Pokemon,1
741,Abra,Pokemon,1
742,Kadabra,Pokemon,1
743,Alakazam,Pokemon,1
878,Hop's Phantump,Pokemon,1
879,Hop's Trevenant,Pokemon,1
1079,Rare Candy,Trainer,1
1081,Enhanced Hammer,Trainer,1
1086,Buddy-Buddy Poffin,Trainer,4
1102,Dusk Ball,Trainer,1
1115,Hop’s Bag,Trainer,1
1121,Ultra Ball,Trainer,1
1122,Pokégear 3.0,Trainer,1
1141,Premium Power Pro,Trainer,1
1142,Fighting Gong,Trainer,1
1145,Mega Signal,Trainer,1
1152,Poké Pad,Trainer,4
1171,Hop’s Choice Band,Pokemon,1
1182,Boss’s Orders,Trainer,3
1192,Carmine,Trainer,1
1219,Team Rocket's Petrel,Trainer,1
1225,Hilda,Trainer,1
1227,Lillie's Determination,Trainer,4
1231,Dawn,Trainer,1
1255,Postwick,Trainer,1
